Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Business Description,Company Website,Started in,Number of Presenters,Male Presenters,Female Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,Cash Burn,SKUs,Has Patents,Bootstrapped,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present
3,NeonAttack,50,469,22-Jan-24,31-Mar-24,29-Mar-24,Entrepreneurs Present Unique Ventures,Rahul Dua,Lifestyle/Home,Premium Quality Neon Signs,https://www.neonattack.com/,2020.0,2,2.0,,Young,Hyderabad,Telangana,1000.0,63.0,,15.0,,,,,75.0,3.0,2500.0,1,1,50.0,2.0,25.0,,2500.0,2,,25.0,1.0,12.5,,,,,,,25.0,1.0,12.5,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,
3,PTal,50,470,22-Jan-24,31-Mar-24,29-Mar-24,Entrepreneurs Present Unique Ventures,Rahul Dua,Lifestyle/Home,"Copper, Brass, and Bronze Kitchenware",https://ptal.in/,2017.0,3,2.0,1.0,Young,Amritsar,Punjab,398.0,,,,,,,funded,50.0,1.0,5000.0,1,1,100.0,3.2,,,3125.0,5,,20.0,0.64,,20.0,0.64,,20.0,0.64,,20.0,0.64,,,,,20.0,0.64,,,,,,,1.0,1.0,1.0,1.0,,,1.0,
3,Lea,51,473,22-Jan-24,31-Mar-24,30-Mar-24,Brilliant Businesses,Snehil Dixit Mehra,Beauty/Fashion,"With real curves, to celebrate and accentuate the skin",https://www.leaclothingco.com/,2021.0,2,,2.0,Middle,Noida,Uttar Pradesh,300.0,60.0,80.0,,,,,,100.0,2.0,5000.0,1,1,100.0,4.0,,,2500.0,4,,25.0,1.0,,25.0,1.0,,25.0,1.0,,,,,,,,,,,25.0,1.0,,Azhar Iqubal,Azhar Iqubal,1.0,1.0,1.0,1.0,,,,1.0
3,Canvaloop,52,477,22-Jan-24,31-Mar-24,31-Mar-24,Ecopreneur Special,Snehil Dixit Mehra,Green/CleanTech,Sustainable fabrics manufacturer,http://www.canvaloop.com/,2020.0,2,1.0,1.0,Middle,Surat,Gujarat,320.0,120.0,,,,,,funded,100.0,1.33,7518.796992,1,1,200.0,4.0,,,5000.0,5,,40.0,0.8,,,,,40.0,0.8,,40.0,0.8,,,,,,,,80.0,1.6,,"Azhar Iqubal,Radhika Gupta","Azhar Iqubal,Radhika Gupta",1.0,,1.0,1.0,,,,2.0
4,FAEBeauty,1,479,06-Jan-25,18-Mar-25,06-Jan-25,New Brands Same Spirit,Sahiba Bali/Aashish Solanki,Beauty/Fashion,Innovative beauty products,https://www.faebeauty.in/,2019.0,1,0.0,1.0,Middle,Mumbai,Maharashtra,1000.0,,,,,50.0,,funded,100.0,1.0,10000.0,1,1,100.0,1.5,,,6666.666667,2,,50.0,0.75,,,,,,,,50.0,0.75,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
4,CONFECT,1,480,06-Jan-25,18-Mar-25,06-Jan-25,New Brands Same Spirit,Sahiba Bali/Aashish Solanki,Food and Beverage,Delectable premium confectionery,https://www.confect.in/,2018.0,1,0.0,1.0,Middle,Delhi,Delhi,,125.0,,,,800.0,,,100.0,1.0,10000.0,1,1,100.0,2.0,,,5000.0,1,yes,100.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
4,BLFabric,2,482,06-Jan-25,18-Mar-25,07-Jan-25,"Threads, Kicks And Care",Sahiba Bali/Aashish Solanki,Beauty/Fashion,Fabric retail offerings,https://blfabric.com/,2021.0,1,1.0,0.0,Middle,Surat,Gujarat,525.0,240.0,,10.0,,250.0,,,100.0,2.0,5000.0,1,1,100.0,5.0,,,2000.0,2,yes,,,,,,,,,,,,,,,,,,,50.0,2.5,,Kunal Bahl,Kunal Bahl,1.0,1.0,,1.0,,1.0,,1.0
4,CultureCircle,2,483,06-Jan-25,18-Mar-25,07-Jan-25,"Threads, Kicks And Care",Sahiba Bali/Aashish Solanki,Beauty/Fashion,Authentic and affordable sneaker collection,https://www.culture-circle.com/,2023.0,2,2.0,0.0,Young,Gurugram,Haryana,,44.0,,,,,,funded,120.0,0.5,24000.0,1,1,300.0,3.0,,,10000.0,2,,,,,,,,,,,,,,,,,,,,150.0,1.5,,Kunal Bahl,Kunal Bahl,1.0,1.0,,1.0,,1.0,,1.0
4,GoZero,3,486,06-Jan-25,18-Mar-25,08-Jan-25,From Style To Sustainability,Sahiba Bali/Aashish Solanki,Food and Beverage,Indulgent guilt-free ice creams,https://letsgozero.in/,2022.0,1,1.0,0.0,Middle,Mumbai,Maharashtra,,330.0,70.0,,yes,,,funded,100.0,1.0,10000.0,1,1,100.0,1.5,,,6666.666667,1,,,,,,,,,,,100.0,1.5,,,,,,,,,,,,Kunal Bahl,,1.0,1.0,1.0,1.0,,,1.0
4,airth,4,489,06-Jan-25,18-Mar-25,09-Jan-25,Sweet Innovations And Smart Solutions,Sahiba Bali/Aashish Solanki,Lifestyle/Home,Innovative air purifiers for ACs,https://airth.in/,2023.0,2,2.0,0.0,Middle,Delhi,Delhi,600.0,40.0,,,yes,,yes,funded,60.0,1.0,6000.0,1,1,100.0,3.7,,,2702.702703,2,,,,,50.0,1.85,,,,,50.0,1.85,,,,,,,,,,,,Varun Dua,,1.0,1.0,1.0,1.0,,,1.0
4,InnerGize,5,491,06-Jan-25,18-Mar-25,10-Jan-25,Pitching Wellness And Luxury,Sahiba Bali/Aashish Solanki,Medical/Health,Mental wellness wearables,https://getinnergize.com/,2023.0,3,2.0,1.0,Middle,Delhi,Delhi,,,,,,,yes,,54.0,1.5,3600.0,1,1,100.0,4.2,,,2380.952381,3,,,,,,,,,,,33.333,1.4,,,,,,,,33.333,1.4,,Azhar Iqubal,"Kunal Bahl,Azhar Iqubal",,1.0,,1.0,,1.0,,2.0
4,KIWIKisanWindow,5,493,06-Jan-25,18-Mar-25,10-Jan-25,Pitching Wellness And Luxury,Sahiba Bali/Aashish Solanki,Lifestyle/Home,Organic grocery solutions,https://kiwikisanwindow.com/,2017.0,2,1.0,1.0,Middle,Dehradun,Uttarakhand,506.0,,,,,250.0,,funded,50.0,1.0,5000.0,1,1,250.0,10.0,,,2500.0,1,,,,,,,,,,,,,,,,,,,,250.0,10.0,,Kunal Bahl,"Kunal Bahl,Azhar Iqubal",,1.0,,1.0,,1.0,,2.0
4,TripoleGear,6,494,06-Jan-25,18-Mar-25,13-Jan-25,"Tech, Travel And Cheesecake",Sahiba Bali,Fitness/Sports/Outdoors,Trekking gear essentials backpacks,https://tripole.in/,2017.0,1,1.0,0.0,Middle,Delhi,Delhi,1420.0,160.0,47.0,,,250.0,,yes,100.0,1.0,10000.0,1,1,75.0,1.15,25.0,9.0,6521.73913,1,,,,,,,,,,,,,,,,,,,,,,,,Kunal Bahl,1.0,,1.0,1.0,,1.0,,1.0
4,Neosapien,6,495,06-Jan-25,18-Mar-25,13-Jan-25,"Tech, Travel And Cheesecake",Sahiba Bali,Technology/Software,AI-powered superhuman personal assistant,https://neosapien.xyz/,2024.0,2,2.0,0.0,Young,"Gwalior,Indore",Madhya Pradesh,,,,,,,,,80.0,2.5,3200.0,1,1,80.0,4.0,,,2000.0,1,,80.0,4.0,,,,,,,,,,,,,,,,,,,,,Kunal Bahl,1.0,,1.0,1.0,,1.0,,1.0
4,SpeedKitchen,7,497,06-Jan-25,18-Mar-25,14-Jan-25,From Culinary To Creativity,Sahiba Bali/Aashish Solanki,Food and Beverage,Ready-to-move kitchens,https://speedkitchen.in/,2021.0,2,2.0,0.0,Middle,Delhi,Delhi,550.0,,,2.0,,,,yes,200.0,3.0,6666.666667,1,1,200.0,6.0,,,3333.333333,3,,,,,,,,,,,,,,,,,,,,133.33,4.0,,"Kunal Bahl,Azhar Iqubal","Kunal Bahl,Azhar Iqubal",,1.0,,1.0,,1.0,,2.0
4,NurturingGreen,9,503,06-Jan-25,18-Mar-25,16-Jan-25,Green Ventures Face Off,Sahiba Bali/Aashish Solanki,Lifestyle/Home,Online plant nursery,https://nurturinggreen.in/,2010.0,1,1.0,0.0,Middle,Lucknow,Uttar Pradesh,2800.0,400.0,,,,,,,100.0,1.0,10000.0,1,1,50.0,1.25,50.0,10.0,4000.0,1,,,,,50.0,1.25,50.0,,,,,,,,,,,,,,,,,Kunal Bahl,1.0,1.0,1.0,,1.0,,,1.0
4,Aquapeya,11,508,06-Jan-25,18-Mar-25,20-Jan-25,Smart Solutions And Creative Ideas,Aashish Solanki,Lifestyle/Home,Natural mineral water,https://www.aquapeya.com/,2018.0,2,2.0,0.0,Middle,Sangli,Maharashtra,1200.0,,,,,,,,70.0,2.0,3500.0,1,1,70.0,3.0,,,2333.333333,2,,35.0,1.5,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,
4,Jarsh,11,509,06-Jan-25,18-Mar-25,20-Jan-25,Smart Solutions And Creative Ideas,Aashish Solanki,Manufacturing,Innovative safety wearables,https://jarshsafety.com/,2016.0,3,3.0,0.0,Middle,Hyderabad,Telangana,,50.0,,,,,yes,funded,50.0,1.0,5000.0,1,1,50.0,1.5,,,3333.333333,1,,,,,,,,,,,50.0,1.5,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,
4,Shyle,12,511,06-Jan-25,18-Mar-25,21-Jan-25,Heritage Meets Modernity,Sahiba Bali,Beauty/Fashion,Handcrafted jewellery silver,https://www.shyle.in/,2017.0,2,1.0,1.0,Middle,Jaipur,Rajasthan,1500.0,120.0,,,,,,yes,70.0,1.0,7000.0,1,1,70.0,1.5,,,4666.666667,2,,35.0,0.75,,,,,,,,,,,,,,,,,,,,,Kunal Bahl,1.0,1.0,1.0,,,1.0,,1.0
4,SavaniHeritage,12,512,06-Jan-25,18-Mar-25,21-Jan-25,Heritage Meets Modernity,Sahiba Bali,Business Services,Innovative restoration techniques,https://www.savaniheritage.com/,1995.0,3,3.0,0.0,Middle,Mumbai,Maharashtra,12400.0,,,9.0,,,,,300.0,1.0,30000.0,1,1,100.0,0.8,200.0,10.0,12500.0,1,,,,,,,,,,,,,,,,,,,,,,,,Kunal Bahl,1.0,1.0,1.0,,,1.0,,1.0
4,Seven,14,517,06-Jan-25,18-Mar-25,23-Jan-25,Tech Meets Creativity And Care,Aashish Solanki,Technology/Software,Innovative payment wearables developed,https://seven.ooo/,2018.0,3,3.0,0.0,Middle,Mumbai,Maharashtra,61.0,,,,,,yes,funded,75.0,1.0,7500.0,1,1,75.0,1.5,,,5000.0,3,,,,,25.0,0.5,,,,,,,,25.0,0.5,,,,,25.0,0.5,,Varun Dua,Varun Dua,,1.0,1.0,1.0,1.0,,,1.0
4,PatchUp,15,522,06-Jan-25,18-Mar-25,24-Jan-25,The Age Of Portable Lighting And Vitamin Patches,Sahiba Bali/Aashish Solanki,Medical/Health,Patches that provide vitamins through skin absorption,https://patchuphealth.com/,2024.0,1,0.0,1.0,Middle,Delhi,Delhi,,,90.0,,,,,,50.0,1.75,2857.142857,1,1,50.0,2.27,,,2202.643172,1,,,,,,,,50.0,2.27,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,
4,tikitoro,16,523,06-Jan-25,18-Mar-25,27-Jan-25,"Big Ideas, Bigger Stakes",Sahiba Bali,Beauty/Fashion,Personal care products for kids and teens,https://tikitoro.com/,2021.0,1,0.0,1.0,Middle,Chennai,Tamil Nadu,850.0,,68.0,,yes,,,yes,25.0,0.5,5000.0,1,1,25.0,1.0,,,2500.0,1,yes,25.0,1.0,,,,,,,,,,,,,,,,,,,,,Kunal Bahl,1.0,1.0,1.0,,1.0,,,1.0
4,RBDMachineTools,17,526,06-Jan-25,18-Mar-25,28-Jan-25,Reaping Success And Painting The Future,Sahiba Bali/Aashish Solanki,Agriculture,India's first power reaper with a seat,https://www.rbdmachine.com/,2020.0,2,2.0,0.0,Middle,Jaipur,Rajasthan,1437.0,267.0,,8.0,,,,,100.0,1.0,10000.0,1,1,50.0,1.0,50.0,9.0,5000.0,2,,25.0,0.5,25.0,,,,,,,,,,,,,,,,,,,,Kunal Bahl,1.0,,1.0,1.0,,1.0,,1.0
4,Metashot,18,530,06-Jan-25,18-Mar-25,29-Jan-25,From Health To Flavours,Sahiba Bali/Aashish Solanki,Fitness/Sports/Outdoors,Console-like cricket game,https://metashot.in/,2023.0,3,3.0,0.0,Middle,Bangalore,Karnataka,819.0,,,,,,yes,funded,80.0,1.5,5333.333333,1,1,160.0,5.0,,,3200.0,2,,,,,80.0,2.5,,80.0,2.5,,,,,,,,,,,,,,,Kunal Bahl,,1.0,1.0,1.0,1.0,,,1.0
4,GabruDiChaap,18,531,06-Jan-25,18-Mar-25,29-Jan-25,From Health To Flavours,Sahiba Bali/Aashish Solanki,Food and Beverage,Flavourful soya chaap,https://gabrudichaap.com/,2019.0,2,2.0,0.0,Middle,Hyderabad,Telangana,738.0,94.0,,,,,,yes,70.0,1.0,7000.0,1,1,140.0,6.0,,,2333.333333,3,,,,,46.666,2.0,,46.666,2.0,,,,,46.666,2.0,,,,,,,,,Kunal Bahl,,1.0,1.0,1.0,1.0,,,1.0
4,SonicLamb,19,533,06-Jan-25,18-Mar-25,30-Jan-25,Disrupting Industries,Aashish Solanki,Lifestyle/Home,Premium headphones,https://in.soniclamb.com/,2018.0,2,2.0,0.0,Middle,Mangalore,Karnataka,100.0,28.0,,,,,,funded,50.0,1.0,5000.0,1,1,50.0,1.0,,,5000.0,1,,,,,,,,,,,,,,50.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
4,Woolah,19,534,06-Jan-25,18-Mar-25,30-Jan-25,Disrupting Industries,Aashish Solanki,Food and Beverage,World’s first bagless tea dip,https://woolahtea.com/,2021.0,1,1.0,0.0,Middle,Sivasagar,Assam,200.0,19.0,,,,,,funded,50.0,1.66,3012.048193,1,1,50.0,2.5,,,2000.0,1,,,,,,,,,,,50.0,2.5,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
4,WomanLikeU,20,536,06-Jan-25,18-Mar-25,31-Jan-25,"Style, Scent And Stories",Aashish Solanki,Beauty/Fashion,Body-type-specific womenswear,https://www.womanlikeu.com/,2019.0,2,1.0,1.0,Middle,Bangalore,Karnataka,470.0,72.0,,,yes,,,,100.0,2.0,5000.0,1,1,100.0,3.0,,,3333.333333,1,,,,,,,,,,,100.0,3.0,,,,,,,,,,,,Varun Dua,,1.0,1.0,1.0,1.0,,,1.0
4,Str8bat,21,538,06-Jan-25,18-Mar-25,03-Feb-25,"Game, Glam And Green",Aashish Solanki,Fitness/Sports/Outdoors,A batting sensor,https://www.str8bat.com/,2022.0,3,3.0,0.0,Old,Bangalore,Karnataka,120.0,18.0,,,yes,,yes,funded,150.0,1.0,15000.0,1,1,150.0,3.5,,,4285.714286,2,,75.0,1.75,,,,,,,,75.0,1.75,,,,,,,,,,,,Kunal Bahl,1.0,1.0,,1.0,,1.0,,1.0
4,RahejaSolarFoodProcessing,22,543,06-Jan-25,18-Mar-25,04-Feb-25,Big Ideas On The Move,Aashish Solanki,Manufacturing,"High-quality, durable solar dryers",https://www.rsfp.in/,2018.0,2,1.0,1.0,Middle,Indore,Madhya Pradesh,700.0,,15.0,,,,,funded,50.0,1.0,5000.0,1,1,175.0,4.38,,,3995.43379,3,,,,,25.0,0.625,,,,,,,,25.0,0.625,,,,,125.0,3.13,,Kunal Bahl,Kunal Bahl,,1.0,1.0,1.0,1.0,,,1.0
4,BobaBhai,24,548,06-Jan-25,18-Mar-25,06-Feb-25,"Trendy, Tasty And Unique",Sahiba Bali/Aashish Solanki,Food and Beverage,Refreshing bubble teas,https://www.bobabhai.com/,2023.0,1,1.0,0.0,Middle,Bangalore,Karnataka,,170.0,,,yes,42.0,,funded,50.0,0.3,16666.66667,1,1,90.0,1.0,,,9000.0,2,,45.0,0.5,,,,,,,,,,,,,,,,,45.0,0.5,,Viraj Bahl,"Kunal Bahl,Viraj Bahl",1.0,,1.0,1.0,,,,2.0
4,Joyspoon,26,554,06-Jan-25,18-Mar-25,10-Feb-25,From Eco-friendly Tech To Edible Delights,Aashish Solanki,Food and Beverage,Premium mukhwas and mouth fresheners ,https://joyspoon.in/,2023.0,2,1.0,1.0,Young,Ahmedabad,Gujarat,,13.0,,,yes,,,funded,40.0,1.5,2666.666667,1,1,40.0,2.0,,,2000.0,1,yes,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,
